"","TCGA-3A-A9IN-01A-11R-A39D-07","TCGA-HZ-7920-01A-11R-2204-07","TCGA-3A-A9IL-01A-11R-A38C-07","TCGA-XN-A8T5-01A-12R-A36G-07","TCGA-IB-A5SQ-01A-11R-A32O-07","TCGA-IB-7890-01A-12R-2204-07","TCGA-3A-A9IR-01A-11R-A38C-07","TCGA-RL-AAAS-01A-32R-A39D-07","TCGA-3A-A9IS-01A-21R-A39D-07","TCGA-IB-AAUN-01A-12R-A38C-07","TCGA-HZ-8519-01A-11R-2404-07","TCGA-3A-A9IH-01A-12R-A39D-07","TCGA-HZ-8638-01A-11R-2404-07","TCGA-HZ-A8P1-01A-11R-A37L-07","TCGA-3A-A9IJ-01A-11R-A39D-07","TCGA-3A-A9IV-01A-11R-A41B-07","TCGA-FB-AAQ6-01A-11R-A41B-07","TCGA-Q3-AA2A-01A-11R-A37L-07","TCGA-FB-A5VM-01A-11R-A32O-07","TCGA-XN-A8T3-01A-11R-A36G-07","TCGA-3A-A9IX-01A-11R-A41B-07","TCGA-HV-A5A3-11A-11R-A26U-07","TCGA-H6-A45N-11A-12R-A26U-07","TCGA-H6-8124-11A-01R-2404-07","TCGA-YB-A89D-11A-11R-A36G-07"
"ENSG00000000003",442,2826,771,1257,2250,1343,77,2496,38,1658,3310,2300,3965,1013,395,158,853,1448,2139,2686,3380,3092,369,3738,1593
"ENSG00000000005",172,25,1,2,8,0,1,5,4,2,180,2,4,1,0,2,0,16,91,3,7,1,5,4,331
"ENSG00000000419",940,2140,774,1195,1091,1642,1493,1180,1372,1538,2588,1901,2317,1143,1034,1059,440,846,2767,1123,1392,1092,1023,1532,1228
"ENSG00000000457",400,983,464,400,459,533,727,648,742,528,1868,650,2641,1089,475,310,599,508,232,693,808,610,706,959,348
"ENSG00000000460",79,210,78,113,266,200,86,135,97,190,502,246,506,221,55,101,132,106,351,249,224,148,220,243,132
"ENSG00000000938",597,2120,311,829,984,600,81,858,134,499,2294,534,818,216,120,105,85,762,746,1053,1464,1252,5757,2046,5016
"ENSG00000000971",2494,16169,2221,8058,4295,7705,729,10545,282,4517,18219,5107,25889,1756,213,1308,2110,2717,6086,5852,10989,2837,894,7427,5425
"ENSG00000001036",1532,4122,1697,1509,2667,1531,2354,2655,2323,1430,3447,2427,4803,3163,1349,1418,1177,1929,4245,2190,2218,1780,799,2836,2322
"ENSG00000001084",1346,2663,968,1104,1372,782,1630,1384,1317,1437,4139,1310,5453,927,937,4282,769,665,1166,1658,1824,1071,2380,2602,1172
"ENSG00000001167",510,1896,640,804,978,1460,1067,927,523,1455,2445,1139,2185,1606,449,389,899,891,773,1052,1701,1082,1303,1625,1100
