"","x"
"1","ENSG00000258175"
"2","ENSG00000232715"
"3","ENSG00000242136"
"4","ENSG00000261559"
"5","LOC124901048"
"6","RN7SKP106"
"7","BPIFB6"
"8","LINC02200"
"9","PHEX-AS1"
"10","LCE3D"
"11","ENSG00000269694"
"12","ENSG00000248918"
"13","DLX2"
"14","ENSG00000250587"
"15","FAM237A"
"16","ENSG00000250820"
"17","ENSG00000254573"
"18","ENSG00000255041"
"19","ZBED9-AS1"
"20","SCGB1A1"
"21","LHX1-DT"
"22","ENSG00000274238"
"23","MS4A10"
"24","ENSG00000261583"
"25","ENSG00000259457"
"26","C3orf85"
"27","LINC01863"
"28","NKX1-2"
"29","LINC00970"
"30","ENSG00000286928"
"31","ENSG00000227269"
"32","ENSG00000287887"
"33","LOC105377209"
"34","ENSG00000257501"
"35","ENSG00000239402"
"36","HOXB-AS4"
"37","ENSG00000283413"
"38","ENSG00000259946"
"39","BPIFA1"
"40","SRGAP3-AS4"
"41","ENSG00000286033"
"42","SLURP1"
"43","LINC02833"
"44","LINC02382"
"45","ENSG00000236744"
"46","LINC00958"
"47","ENSG00000229609"
"48","PRDM12"
"49","ENSG00000237337"
"50","ENSG00000267746"
"51","ENSG00000285694"
"52","FXYD4"
"53","ENSG00000233415"
"54","HOXD10"
"55","ENSG00000259534"
"56","LOC124901067"
"57","ENSG00000253300"
"58","ACTL8"
"59","ENSG00000278012"
"60","ENSG00000258910"
"61","ENSG00000260232"
"62","FGF3"
"63","ENSG00000256757"
"64","ENSG00000278716"
"65","SLC12A5-AS1"
"66","SP8"
"67","GLRA2"
"68","LINC02687"
"69","C6orf118"
"70","LINC02730"
"71","GFY"
"72","SLCO1B1"
"73","ENSG00000261296"
"74","KLHL1"
"75","MON2-AS1"
"76","TPSP2"
"77","ENSG00000287048"
"78","ATOH1"
"79","CTXN2"
"80","LOC107987327"
"81","LINC01790"
"82","MIMT1"
"83","ENSG00000231720"
"84","CACNA2D1-AS1"
"85","LINC01799"
"86","ENSG00000253286"
"87","ENSG00000231156"
"88","CIST1"
"89","ENSG00000244280"
"90","LINC01714"
"91","ENSG00000266521"
"92","ENSG00000256925"
"93","ENSG00000286749"
"94","PCGEM1"
"95","LINC01913"
"96","LINC01602"
"97","ENSG00000285593"
"98","EPHA5-AS1"
"99","FABP7"
"100","ENSG00000282097"
"101","ENSG00000231877"
"102","ENSG00000225129"
"103","NEUROD4"
"104","LINC01250"
"105","MORN5"
"106","ENSG00000231980"
"107","ENSG00000253642"
"108","ENSG00000260634"
"109","ENSG00000275678"
"110","ENSG00000286728"
"111","MAS1"
"112","ENSG00000259757"
"113","ENSG00000274002"
"114","C7orf78"
"115","ENSG00000225760"
"116","LOC107985206"
"117","LRRC26"
"118","TAFA4"
"119","MIR124-2HG"
"120","KLK12"
"121","ENSG00000253477"
"122","GPR149"
"123","LINC01574"
"124","ENSG00000279798"
"125","F2"
"126","LRRC74B"
"127","SLC26A3"
"128","CFAP47"
"129","ENSG00000269935"
"130","TTC29"
"131","MAGEA1"
"132","DDX53"
"133","LOC124907890"
"134","ITIH6"
"135","ENSG00000233214"
"136","LINC00706"
"137","TRIM40"
"138","FABP2"
"139","TMEM213"
"140","ENSG00000278912"
"141","GRM7-AS3"
"142","MAPT-IT1"
"143","MYL7"
"144","ENSG00000244358"
"145","HRH3"
"146","MARCHF11"
"147","KLK5"
"148","ENSG00000251361"
"149","ENSG00000240095"
"150","LINC00616"
"151","UGT2B10"
"152","RIPPLY2"
"153","ENSG00000233256"
"154","SPRR2D"
"155","HEY2-AS1"
"156","C19orf81"
"157","ENSG00000254089"
"158","LINC02253"
"159","LINC01586"
"160","ZBBX"
"161","FOXD3-AS1"
"162","ASB15"
"163","MMD2"
"164","KCNH5"
"165","LINC01234"
"166","CASP14"
"167","PTPRT-DT"
"168","KCNC2"
"169","ENSG00000227432"
"170","ENSG00000250261"
"171","VSTM2A-OT1"
"172","LINC01322"
"173","ENSG00000248409"
"174","CNTNAP4"
"175","TMEM271"
"176","ENSG00000230676"
"177","ENSG00000259235"
"178","GPR6"
"179","ENSG00000260062"
"180","LRRC9"
"181","LINC02717"
"182","USP41P"
"183","ENSG00000232680"
"184","ENSG00000277010"
"185","ENSG00000256151"
"186","LOC105377503"
"187","MOGAT3"
"188","ENSG00000276508"
"189","LINC02475"
