"","x"
"1","CFTR"
"2","LAPTM5"
"3","ITGB2"
"4","PTPRC"
"5","CORO1A"
"6","CD53"
"7","CD36"
"8","TRIM22"
"9","VCAM1"
"10","CYBB"
"11","OR2I1P"
"12","AKNA"
"13","CIITA"
"14","HBB"
"15","IRF8"
"16","CD37"
"17","DOCK8"
"18","NCKAP1L"
"19","HLA-DMB"
"20","CR2"
"21","HMOX1"
"22","MPEG1"
"23","FABP4"
"24","MS4A1"
"25","CHI3L1"
"26","HLA-DQA1"
"27","SLA"
"28","CD79A"
"29","ITGAX"
"30","PLIN4"
"31","CD52"
"32","DOCK2"
"33","RCSD1"
"34","PLCG2"
"35","TMC8"
"36","LIMD2"
"37","MMP12"
"38","MS4A7"
"39","SELL"
"40","CD22"
"41","OLR1"
"42","LTB"
"43","ITGAL"
"44","IKZF3"
"45","PPP1R16B"
"46","PLEK"
"47","FYB1"
"48","ACAP1"
"49","WDFY4"
"50","IKZF1"
"51","SASH3"
"52","AIF1L"
"53","CXCL6"
"54","HCK"
"55","FCMR"
"56","APOC1"
"57","ENSG00000131401"
"58","FGR"
"59","PRKCB"
"60","BANK1"
"61","SLC11A1"
"62","AKR1C1"
"63","PARVG"
"64","RASGRP2"
"65","EVI2B"
"66","ARHGAP25"
"67","FGD2"
"68","WAS"
"69","CD84"
"70","CXCL13"
"71","RIPOR2"
"72","CSF3R"
"73","FGD3"
"74","KLHL6"
"75","CHIT1"
"76","POU2AF1"
"77","TBC1D10C"
"78","RASAL3"
"79","APBB1IP"
"80","MYO1G"
"81","ARHGAP9"
"82","ALB"
"83","PAX5"
"84","MARCO"
"85","PIK3R5"
"86","MARCHF1"
"87","SIGLEC1"
"88","DOK3"
"89","BTK"
"90","GBP5"
"91","POU2F2"
"92","HBA2"
"93","FAM78A"
"94","BNIP5"
"95","LINC00926"
"96","IRAG2"
"97","TNFRSF13C"
"98","PLIN1"
"99","RHOH"
"100","CD72"
"101","ZAP70"
"102","LY86"
"103","SEPTIN1"
"104","SLAMF6"
"105","PARP15"
"106","NEURL3"
"107","PRF1"
"108","TRAF3IP3"
"109","CR1"
"110","P2RX5"
"111","ADIPOQ"
"112","CLEC2D"
"113","MAP4K1"
"114","CARMIL2"
"115","NIBAN3"
"116","PSTPIP2"
"117","FCRL5"
"118","LILRB2"
"119","ITK"
"120","CD180"
"121","HK3"
"122","CD48"
"123","CD19"
"124","CD79B"
"125","FCGR2B"
"126","SIGLEC10"
"127","NKG7"
"128","GVINP1"
"129","TAGAP"
"130","IL4I1"
"131","LILRB1"
"132","MMP10"
"133","BLK"
"134","IL34"
"135","SP140"
"136","RUBCNL"
"137","FCRL3"
"138","NPY1R"
"139","LILRB5"
"140","FCER2"
"141","FCRLA"
"142","TCL1A"
"143","SCIMP"
"144","SPIB"
"145","COL4A3"
"146","ZNF486"
"147","TFEC"
"148","AQP9"
"149","CD38"
"150","IRF4"
"151","HVCN1"
"152","PELATON"
"153","GNLY"
"154","PCED1B-AS1"
"155","SEMA3D"
"156","TIGIT"
"157","DNASE1L3"
"158","TLR10"
"159","ITGB2-AS1"
"160","P2RY13"
"161","FCRL1"
"162","SCNN1G"
"163","P2RY10"
"164","IL12RB1"
"165","FAM30A"
"166","KLRD1"
"167","LEP"
"168","CD300LF"
"169","BCL2A1"
"170","TLR6"
"171","TLR7"
"172","ENSG00000288156"
"173","SERPINA3"
"174","FCRL2"
"175","LY9"
"176","GAPT"
"177","CHI3L2"
"178","NCF1"
"179","SIGLEC14"
"180","DPEP2"
"181","SCML4"
"182","HLA-DOB"
"183","ANKRD33B"
"184","VPREB3"
"185","GPR174"
"186","SIT1"
"187","GDF7"
"188","ZC3H12D"
"189","LINC00861"
"190","MCOLN2"
"191","CD33"
"192","MIR142HG"
"193","ITGB7"
"194","CD27"
"195","STAB2"
"196","KBTBD8"
"197","CD226"
"198","CD300E"
"199","FCGR3B"
"200","TNFSF8"
"201","TLR8"
"202","RAB42"
"203","CNR2"
"204","PLA2G2D"
"205","FMNL1-DT"
"206","AIM2"
"207","CETP"
"208","XIRP1"
"209","EOMES"
"210","IL21R"
"211","GDPD2"
"212","NCF1C"
"213","LILRA2"
"214","PATL2"
"215","GZMH"
"216","CLEC17A"
"217","BTLA"
"218","TNFRSF9"
"219","KLHL14"
"220","WT1"
"221","C11orf21"
"222","GCSAM"
"223","STAP1"
"224","ENSG00000283907"
"225","MIR223HG"
"226","TRARG1"
"227","MCEMP1"
"228","ENSG00000225840"
"229","PRR33"
"230","TRG-AS1"
"231","TXK"
"232","RETN"
"233","SLC9A5"
"234","MMP25"
"235","GSDMC"
"236","SIRPG"
"237","C5orf46"
"238","ENSG00000268555"
"239","TREML2"
"240","TNFRSF13B"
"241","ENSG00000225670"
"242","PYHIN1"
"243","PDCD1"
"244","LINC00426"
"245","IL18RAP"
"246","CLEC12A"
"247","CEACAM21"
"248","TSPAN32"
"249","LINC01215"
"250","SIRPB1"
"251","CD300LB"
"252","TBX21"
"253","GIMAP5"
"254","SLC47A1"
"255","RNU4-2"
"256","ICAM3"
"257","LILRA1"
"258","ENSG00000268027"
"259","ENSG00000285108"
"260","CXCR2"
"261","FCRL6"
"262","MUC15"
"263","KLRK1-AS1"
"264","TPO"
"265","DCSTAMP"
"266","KMO"
"267","LINC00494"
"268","LINC01480"
"269","DNAJC5B"
"270","CRHBP"
"271","GPR18"
"272","TRGC2"
"273","CD244"
"274","ENSG00000182487"
"275","DTHD1"
"276","AMTN"
"277","SIGLEC7"
"278","ENSG00000128438"
"279","LINC00996"
"280","GP1BA"
"281","LOC105370792"
"282","ERMN"
"283","NUGGC"
"284","KCNT1"
"285","MIR155HG"
"286","ENSG00000225889"
"287","FPR2"
"288","CXCR1"
"289","SOWAHD"
"290","ENSG00000262370"
"291","PTGDR"
"292","CDHR1"
"293","ENSG00000259342"
"294","TLX1"
"295","TAF5LP1"
"296","LINC01857"
"297","TNF"
"298","LINC01781"
"299","ENSG00000184293"
"300","ADGRE1"
"301","KCNJ10"
"302","SIGLEC16"
"303","CHRM3-AS2"
"304","ITGAD"
"305","ENSG00000269954"
"306","NCR3"
"307","FCAMR"
"308","LINC00671"
"309","FAM153A"
"310","MEFV"
"311","CEACAM4"
"312","CD300LG"
"313","KEL"
"314","PDE6G"
"315","HLA-DQB1-AS1"
"316","NETO1"
"317","LILRA4"
"318","CCL14"
"319","APOBEC3A"
"320","PNOC"
"321","ENSG00000273837"
"322","KLRF1"
"323","ENSG00000280135"
"324","CLNK"
"325","ENSG00000240219"
"326","SCN11A"
"327","NFIA-AS2"
"328","FGFBP2"
"329","COL19A1"
"330","LINC00954"
"331","TRGC1"
"332","ENSG00000205056"
"333","LTA"
"334","CALHM6"
"335","HTRA4"
"336","ENSG00000254416"
"337","GPR55"
"338","PHOSPHO1"
"339","CD5L"
"340","SIGLEC11"
"341","ENSG00000229754"
"342","ENSG00000272789"
"343","LINC02422"
"344","LINC00528"
"345","SLFN12L"
"346","ENSG00000260135"
"347","MTCYBP18"
"348","BEND4"
"349","ENSG00000281383"
"350","TMEM52B"
"351","CRIPTO"
"352","SNORA73B"
"353","ENSG00000279277"
"354","CD160"
"355","CFP"
"356","CLDN6"
"357","GPR182"
"358","SH2D1B"
"359","ENSG00000286646"
"360","ENSG00000211829"
"361","ENSG00000268758"
"362","LOC124903372"
"363","KRT79"
"364","NLRP12"
"365","PPBP"
"366","LGALS12"
"367","PNLDC1"
"368","ADGRE3"
"369","ENSG00000287265"
"370","TRIM50"
"371","ENSG00000251301"
"372","SLC22A31"
"373","RUFY4"
"374","AMHR2"
"375","ENSG00000258810"
"376","LY86-AS1"
"377","ENSG00000272282"
"378","SNORD17"
"379","CYLD-AS1"
"380","ENSG00000267731"
"381","IL17REL"
"382","LINC01537"
"383","TRBV7-2"
"384","TIFAB"
"385","TRBV28"
"386","TREML1"
"387","ANGPTL6"
"388","ENSG00000283265"
"389","IGHV5-78"
"390","LEFTY2"
"391","SLC7A10"
"392","ENSG00000257275"
"393","ENSG00000233143"
"394","EEF1A1P24"
"395","CXCR5"
"396","ENSG00000223511"
"397","KLRK1"
"398","OIT3"
"399","LOC100887080"
"400","ENSG00000225963"
"401","LINC01694"
"402","ADRA1A"
"403","LINC00173"
"404","ENSG00000267074"
"405","ENSG00000276842"
"406","ENSG00000228146"
"407","ANKRD55"
"408","FAM178B"
"409","TTC24"
"410","LOC400627"
"411","ENSG00000248996"
"412","THRSP"
"413","ENSG00000268416"
"414","PADI4"
"415","NPY5R"
