"","mRNA","logFC","FDR","Delta","Tumor","Normal","start","end","diff_exp","gene"
"ENSG00000001626","ENSG00000001626",2.26086795154117,0.0038041911288763,18303.6639545414,8095.85714285714,39022.75,117287120,117715971,"UP","CFTR"
"ENSG00000162511","ENSG00000162511",2.10241573467476,0.00924803376029853,10643.4295992735,5062.47619047619,19185.25,30732469,30757774,"UP","LAPTM5"
"ENSG00000160255","ENSG00000160255",2.10007716164488,0.00934859479190321,9750.55825784279,4642.95238095238,18025,44885953,44931989,"UP","ITGB2"
"ENSG00000081237","ENSG00000081237",2.51965474245414,0.000793125337833837,6540.06384293764,2595.61904761905,10801.25,198638457,198757476,"UP","PTPRC"
"ENSG00000102879","ENSG00000102879",2.30630215601221,0.00296408094276336,5587.40135663225,2422.66666666667,9591,30182827,30189076,"UP","CORO1A"
"ENSG00000143119","ENSG00000143119",2.64742512421606,0.000331540644572506,5199.6690118234,1964.04761904762,9640.5,110871188,110899922,"UP","CD53"
"ENSG00000135218","ENSG00000135218",2.89267026761887,5.79112492555563e-05,4932.27829869661,1705.09523809524,9948.25,80369575,80679277,"UP","CD36"
"ENSG00000132274","ENSG00000132274",2.13130032683153,0.00794630958307421,4906.96378580845,2302.33333333333,7918.25,5689697,5737089,"UP","TRIM22"
"ENSG00000162692","ENSG00000162692",2.32650937955964,0.00263988316237832,4597.18253400985,1976,8462,100719742,100739045,"UP","VCAM1"
"ENSG00000165168","ENSG00000165168",2.41064066706957,0.00158862371605044,4588.13794390969,1903.28571428571,8515,37780059,37813461,"UP","CYBB"
"ENSG00000237988","ENSG00000237988",2.15889604821484,0.00678629864100073,4546.53227296672,2105.95238095238,8562.5,29550407,29557721,"UP","OR2I1P"
"ENSG00000106948","ENSG00000106948",2.10298566914736,0.0092369789441563,4389.03123368527,2087.04761904762,6831.25,114334156,114394405,"UP","AKNA"
"ENSG00000179583","ENSG00000179583",2.42006407752749,0.00151455023393877,4067.89723203061,1680.90476190476,7219.25,10866222,10943021,"UP","CIITA"
"ENSG00000244734","ENSG00000244734",3.4477849550172,4.47310056276506e-07,3943.77344783182,1143.85714285714,11475.5,5225464,5229395,"UP","HBB"
"ENSG00000140968","ENSG00000140968",2.61464924834646,0.000419429334924414,3941.3969812217,1507.42857142857,7358.75,85899162,85922606,"UP","IRF8"
"ENSG00000104894","ENSG00000104894",2.72800115396565,0.000190182166739169,3802.18408454384,1393.7619047619,7635.75,49335171,49343335,"UP","CD37"
"ENSG00000107099","ENSG00000107099",2.37712481587931,0.00195301705129049,3501.61805021002,1473.04761904762,5854.25,214854,465259,"UP","DOCK8"
